Gene,Transcript
ATP1A4,NM_144699.4
ATP1B1,NM_001677.4
ATP1B3,NM_001679.4
ATP1B4,NM_001142447.3
ATP23,NM_033276.4
ATP2A1,NM_004320.6
ATP2A2,NM_170665.4
ATP2A3,NM_005173.4
ATP2B1,NM_001366521.1
ATP2B2,NM_001001331.4
ATP2B3,NM_001001344.3
ATP2B4,NM_001684.5
ATP2C1,NM_001378687.1
ATP2C2,NM_014861.4
ATP4A,NM_000704.3
ATP4B,NM_000705.4
ATP5F1A,NM_004046.6
ATP5F1B,NM_001686.4
ATP5F1D,NM_001687.5
ATP5F1E,NM_006886.4
ATP5MC3,NM_001689.5
ATP5MGL,NM_001165877.1
ATP5PO,NM_001697.3
ATP6AP1,NM_001183.6
ATP6AP1L,NM_001386093.1
ATP6AP2,NM_005765.3
ATP6V0A1,NM_001130021.3
ATP6V0A2,NM_012463.4
ATP6V0A4,NM_020632.3
ATP6V0C,NM_001694.4
ATP6V0D2,NM_152565.1
ATP6V1A,NM_001690.4
ATP6V1B1,NM_001692.4
ATP6V1B2,NM_001693.4
ATP6V1E1,NM_001696.4
ATP6V1G3,NM_001376861.1
ATP7A,NM_000052.7
ATP7B,NM_000053.4
ATP8A1,NM_006095.2
ATP8A2,NM_016529.6
ATP8B1,NM_001374385.1
ATP8B3,NM_138813.4
ATP8B4,NM_024837.4
ATP9A,NM_006045.3
ATP9B,NM_198531.5
ATPAF2,NM_145691.4
ATPSCKMT,NM_199133.4
ATR,NM_001184.4
ATRAID,NM_001170795.4
ATRIP,NM_130384.3
ATRN,NM_139321.3
ATRNL1,NM_207303.4
ATRX,NM_000489.6
ATXN1,NM_001128164.2
ATXN10,NM_013236.4
ATXN1L,NM_001137675.4
ATXN2,NM_001372574.1
ATXN3,NM_004993.6
ATXN3L,NM_001135995.2
ATXN7,NM_001377405.1
ATXN7L1,NM_020725.2
ATXN7L2,NM_001350175.2
ATXN7L3,NM_001382309.1
AUH,NM_001698.3
AUP1,NM_181575.5
AURKA,NM_198437.3
AURKAIP1,NM_017900.3
AURKC,NM_001015878.2
AUTS2,NM_015570.4
AVEN,NM_020371.3
AVIL,NM_006576.4
AVL9,NM_015060.3
AVP,NM_000490.5
AVPR1A,NM_000706.5
AVPR1B,NM_000707.5
AVPR2,NM_000054.7
AWAT1,NM_001013579.3
AWAT2,NM_001002254.1
AXDND1,NM_144696.6
AXIN1,NM_003502.4
AXIN2,NM_004655.4
AXL,NM_021913.5
AZGP1,NM_001185.4
AZIN2,NM_052998.4
B2M,NM_004048.4
B3GALNT2,NM_152490.5
B3GALT1,NM_020981.4
B3GALT2,NM_003783.3
B3GALT4,NM_003782.4
B3GALT6,NM_080605.4
B3GAT3,NM_012200.4
B3GLCT,NM_194318.4
B3GNT2,NM_006577.6
B3GNT3,NM_014256.4
B3GNT4,NM_030765.4
B3GNT5,NM_032047.5
B3GNT6,NM_138706.5
B3GNT7,NM_145236.3
B3GNT8,NM_001385648.2
B3GNTL1,NM_001009905.3
B4GALNT1,NM_001478.5
B4GALNT2,NM_001159387.2
B4GALNT3,NM_173593.4
B4GALNT4,NM_178537.5
B4GALT1,NM_001497.4
B4GALT3,NM_003779.4
B4GALT4,NM_003778.4
B4GALT6,NM_004775.5
B4GALT7,NM_007255.3
B4GAT1,NM_006876.3
B9D1,NM_015681.6
B9D2,NM_030578.4
BAALC,NM_024812.3
BAAT,NM_001701.4
BACE1,NM_012104.6
BACE2,NM_012105.5
BACH1,NM_001186.4
BACH2,NM_021813.4
BAD,NM_032989.3
BAG1,NM_004323.6
BAG3,NM_004281.4
BAG4,NM_004874.4
BAG5,NM_001015048.3
BAHCC1,NM_001377448.1
BAHD1,NM_014952.5
BAIAP2,NM_001144888.2
BAIAP2L2,NM_025045.6
BAIAP3,NM_001199097.2
BAK1,NM_001188.4
BANK1,NM_017935.5
BAP1,NM_004656.4
BARD1,NM_000465.4
BARHL2,NM_020063.2
BARX2,NM_003658.5
BATF3,NM_018664.3
BAX,NM_138761.4
BAZ1A,NM_013448.3
BAZ1B,NM_032408.4
BAZ2A,NM_001300905.2
BAZ2B,NM_013450.4
BBC3,NM_014417.5
BBIP1,NM_001195305.3
BBS1,NM_024649.5
BBS10,NM_024685.4
BBS12,NM_152618.3
BBS2,NM_031885.5
BBS4,NM_033028.5
BBS5,NM_152384.3
BBS7,NM_176824.3
BBS9,NM_198428.3
BBX,NM_001142568.3
BCAM,NM_005581.5
BCAN,NM_021948.5
BCAP31,NM_001256447.2
BCAR1,NM_014567.5
BCAR3,NM_003567.4
BCAS1,NM_001366298.2
BCAS2,NM_005872.3
BCAS3,NM_017679.5
BCAS4,NM_198799.4
BCAT1,NM_005504.7
BCAT2,NM_001190.4
BCCIP,NM_078468.3
BCDIN3D,NM_181708.3
BCHE,NM_000055.4
BCKDHA,NM_000709.4
BCKDHB,NM_183050.4
BCKDK,NM_005881.4
BCL10,NM_003921.5
BCL11A,NM_022893.4
BCL11B,NM_138576.4
BCL2L10,NM_020396.4
BCL2L13,NM_015367.4
BCL2L14,NM_138723.2
BCL3,NM_005178.5
BCL6,NM_001706.5
BCL7A,NM_001024808.3
BCL7C,NM_004765.4
BCL9,NM_004326.4
BCL9L,NM_001378213.1
BCLAF1,NM_014739.3
BCO1,NM_017429.3
BCO2,NM_031938.7
BCOR,NM_001123385.2
BCORL1,NM_001379451.1
BCR,NM_004327.4
BCS1L,NM_001079866.2
BDH1,NM_203314.3
BDH2,NM_020139.4
BDKRB1,NM_000710.4
BDKRB2,NM_001379692.1
BDNF,NM_001709.5
BDP1,NM_018429.3
BEAN1,NM_001178020.3
BECN1,NM_001313998.2
BECN2,NM_001290693.1
BEGAIN,NM_001385089.1
BEND2,NM_153346.5
BEND3,NM_001367314.1
BEND4,NM_207406.4
BEND6,NM_152731.3
BEND7,NM_001369863.1
BEST1,NM_004183.4
BEST2,NM_017682.3
BEST3,NM_032735.3
BEX2,NM_032621.4
BEX4,NM_001080425.4
BFAR,NM_016561.3
BFSP1,NM_001195.5
BFSP2,NM_003571.4
BGLAP,NM_199173.6
BGN,NM_001711.6
BHLHA15,NM_177455.4
BHLHA9,NM_001164405.2
BHLHE22,NM_152414.5
BHLHE40,NM_003670.3
BHLHE41,NM_030762.3
BHMT,NM_001713.3
BHMT2,NM_017614.5
BICC1,NM_001080512.3
BICD2,NM_001003800.2
BICDL2,NM_001369667.1
BICRA,NM_001394372.1
BICRAL,NM_001393499.1
BID,NM_001196.4
BIK,NM_001197.5
BIN1,NM_139343.3
BIN2,NM_016293.4
BIRC2,NM_001166.5
BIRC3,NM_001165.5
BIRC5,NM_001168.3
BIRC6,NM_016252.4
BIRC7,NM_139317.3
BIVM,NM_017693.4
BLK,NM_001715.3
BLM,NM_000057.4
BLMH,NM_000386.4
BLNK,NM_013314.4
BLOC1S3,NM_212550.5
BLOC1S4,NM_018366.3
BLOC1S5,NM_201280.3
BLOC1S6,NM_012388.4
BLTP1,NM_001384125.1
BLTP2,NM_014680.5
BLTP3A,NM_017754.4
BLTP3B,NM_015054.2
BLVRA,NM_000712.4
BLVRB,NM_000713.3
BLZF1,NM_001320973.2
BMAL2,NM_020183.6
BMP1,NM_006129.5
BMP10,NM_014482.3
BMP15,NM_005448.2
BMP2,NM_001200.4
BMP2K,NM_198892.2
BMP3,NM_001201.5
BMP4,NM_001202.6
BMP5,NM_021073.4
BMP6,NM_001718.6
BMP7,NM_001719.3
BMP8A,NM_181809.4
BMP8B,NM_001720.5
BMPER,NM_001365308.1
BMPR1A,NM_004329.3
BMPR1B,NM_001203.3
BMPR2,NM_001204.7
BMS1,NM_014753.4
BMX,NM_203281.3
BNC1,NM_001717.4
BNC2,NM_017637.6
BNIP2,NM_004330.4
BNIP3L,NM_004331.3
BNIP5,NM_001010903.5
BNIPL,NM_138278.4
BOC,NM_001378074.1
BOD1,NM_138369.3
BOD1L1,NM_148894.3
BOLA3,NM_212552.3
BOP1,NM_015201.5
BORA,NM_024808.5
BORCS6,NM_017622.3
BORCS7,NM_001136200.2
BPGM,NM_001724.5
BPHL,NM_004332.4
BPI,NM_001725.3
BPIFA1,NM_130852.3
BPIFA2,NM_080574.4
BPIFA3,NM_178466.5
BPIFB1,NM_033197.3
BPIFB2,NM_025227.3
BPIFB3,NM_001376932.3
BPIFB4,NM_182519.3
BPIFB6,NM_174897.2
BPNT1,NM_006085.6
BPNT2,NM_017813.5
BPTF,NM_182641.4
BRAF,NM_004333.6
BRAT1,NM_152743.4
BRCA1,NM_007294.4
BRCA2,NM_000059.4
BRD1,NM_001304808.3
BRD10,NM_001017969.3
BRD2,NM_005104.4
BRD3,NM_007371.4
BRD4,NM_001379291.1
BRD7,NM_013263.5
BRD8,NM_139199.2
BRD9,NM_023924.5
BRDT,NM_207189.4
BRF1,NM_001519.4
BRF2,NM_018310.4
BRI3BP,NM_080626.6
BRICD5,NM_182563.4
BRINP1,NM_014618.3
BRINP3,NM_199051.3
BRIP1,NM_032043.3
BRIX1,NM_018321.4
BRME1,NM_001345843.2
BROX,NM_144695.4
BRPF1,NM_001003694.2
BRPF3,NM_015695.3
BRS3,NM_001727.2
BRSK2,NM_001256627.2
BRWD1,NM_033656.4
BRWD3,NM_153252.5
BSCL2,NM_001122955.4
BSG,NM_001728.4
BSN,NM_003458.4
BSND,NM_057176.3
BSPH1,NM_001128326.2
BST1,NM_004334.3
BSX,NM_001098169.2
BTAF1,NM_003972.3
BTBD1,NM_025238.4
BTBD16,NM_144587.5
BTBD17,NM_001080466.2
BTBD18,NM_001145101.3
BTBD19,NM_001136537.3
BTBD2,NM_017797.4
BTBD6,NM_001387567.1
BTBD7,NM_001002860.4
BTBD8,NM_001376131.1
BTC,NM_001729.4
BTD,NM_001370658.1
BTG4,NM_001367975.1
BTK,NM_000061.3
BTN1A1,NM_001732.3
BTN2A1,NM_007049.5
BTN2A2,NM_006995.5
BTN3A1,NM_007048.6
BTN3A2,NM_007047.5
BTN3A3,NM_006994.5
BTNL2,NM_001304561.2
BTNL3,NM_197975.3
BTNL8,NM_001040462.3
BTNL9,NM_152547.5
BTRC,NM_033637.4
BUB1,NM_004336.5
BUB1B,NM_001211.6
BUD13,NM_032725.4
BVES,NM_001199563.2
BYSL,NM_004053.4
C10orf105,NM_001164375.3
C10orf71,NM_001135196.2
C10orf90,NM_001350921.2
C11orf21,NM_001329958.2
C11orf24,NM_022338.4
C12orf4,NM_020374.4
C12orf42,NM_198521.5
C12orf43,NM_022895.3
C12orf56,NM_001170633.2
C12orf57,NM_138425.4
C12orf60,NM_175874.4
C14orf28,NM_001017923.2
C14orf39,NM_174978.3
C14orf93,NM_021944.4
C15orf39,NM_015492.5
C16orf96,NM_001145011.2
C19orf12,NM_031448.6
C19orf48,NM_199249.2
C19orf84,NM_001193623.2
C1GALT1,NM_020156.5
C1GALT1C1,NM_001011551.3
C1QA,NM_015991.4
C1QB,NM_001378156.1
C1QBP,NM_001212.4
C1QC,NM_172369.5
C1QTNF12,NM_001014980.3
C1QTNF2,NM_031908.6
C1QTNF3,NM_181435.6
C1QTNF5,NM_001278431.2
C1QTNF6,NM_031910.4
C1QTNF8,NM_207419.3
C1QTNF9,NM_178540.5
C1QTNF9B,NM_001007537.3
C1R,NM_001733.7
C1RL,NM_016546.4
C1S,NM_001734.5
C1orf115,NM_024709.5
C1orf116,NM_023938.6
C1orf127,NM_001170754.2
C1orf131,NM_152379.4
C1orf210,NM_182517.3
C1orf56,NM_017860.5
C1orf87,NM_152377.3
C1orf94,NM_001134734.2
C2,NM_000063.6
C20orf141,NM_001256538.2
C20orf144,NM_080825.4
C20orf96,NM_153269.3
C2CD2,NM_015500.2
C2CD2L,NM_001290474.2
C2CD3,NM_001286577.2
C2CD4A,NM_207322.3
C2CD4B,NM_001007595.3
C2CD4C,NM_001136263.2
C2CD6,NM_001168221.2
C2orf15,NM_144706.4
C2orf69,NM_153689.6
C3,NM_000064.4
C3AR1,NM_004054.4
C3orf20,NM_032137.5
C3orf52,NM_024616.3
C3orf62,NM_198562.3
C4A,NM_007293.3
C4B,NM_001002029.4
C4BPA,NM_000715.4
C4BPB,NM_001017365.3
C4orf17,NM_032149.3
C4orf50,NM_001364689.3
C4orf54,NM_001354435.2
C5,NM_001735.3
C5AR1,NM_001736.4
C5AR2,NM_001271749.2
C5orf34,NM_198566.4
C6,NM_000065.5
C6orf132,NM_001164446.3
C7,NM_000587.4
C7orf57,NM_001100159.3
C8A,NM_000562.3
C8B,NM_000066.4
C8G,NM_000606.3
C8orf33,NM_023080.3
C8orf48,NM_001007090.3
C8orf58,NM_001013842.3
C8orf74,NM_001040032.2
C8orf82,NM_001001795.2
C9,NM_001737.5
C9orf152,NM_001012993.3
C9orf43,NM_001278629.2
C9orf50,NM_199350.4
C9orf72,NM_018325.5
CA1,NM_001128831.4
CA12,NM_001218.5
CA13,NM_198584.3
CA14,NM_012113.3
CA2,NM_000067.3
CA4,NM_000717.5
CA5A,NM_001739.2
CA5B,NM_007220.4
CA6,NM_001215.4
CA7,NM_005182.3
CA8,NM_004056.6
CA9,NM_001216.3
CAAP1,NM_024828.4
CAB39L,NM_001079670.3
CABIN1,NM_012295.4
CABLES1,NM_001100619.3
CABLES2,NM_031215.3
CABP2,NM_016366.3
CABP4,NM_145200.5
CABS1,NM_033122.4
CACHD1,NM_020925.4
CACNA1A,NM_001127222.2
CACNA1B,NM_000718.4
CACNA1C,NM_000719.7
CACNA1D,NM_001128840.3
CACNA1E,NM_001205293.3
CACNA1F,NM_001256789.3
CACNA1G,NM_018896.5
CACNA1H,NM_021098.3
CACNA1I,NM_021096.4
CACNA1S,NM_000069.3
CACNA2D1,NM_000722.4
CACNA2D2,NM_006030.4
CACNA2D3,NM_018398.3
CACNA2D4,NM_172364.5
CACNB2,NM_201596.3
CACNB4,NM_000726.5
CACNG1,NM_000727.4
CACNG6,NM_145814.2
CACNG8,NM_031895.6
CACTIN,NM_001080543.2
CAD,NM_004341.5
CADM1,NM_001301043.2
CADM3,NM_001127173.3
CADPS,NM_003716.4
CADPS2,NM_017954.11
CAGE1,NM_001170692.2
CALCOCO1,NM_020898.3
CALCOCO2,NM_005831.5
CALCR,NM_001742.4
CALCRL,NM_005795.6
CALD1,NM_033138.4
CALHM1,NM_001001412.4
CALHM5,NM_153711.5
CALM1,NM_006888.6
CALM2,NM_001743.6
CALM3,NM_005184.4
CALML4,NM_033429.3
CALML5,NM_017422.5
CALML6,NM_138705.4
CALR,NM_004343.4
CALR3,NM_145046.5
CALU,NM_001219.5
CAMK1D,NM_153498.4
CAMK2A,NM_015981.4
CAMK2B,NM_001220.5
CAMK2D,NM_001321571.2
CAMK2G,NM_001367534.1
CAMK4,NM_001744.6
CAMKK1,NM_032294.3
CAMKK2,NM_001270485.2
CAMKMT,NM_024766.5
CAMKV,NM_024046.5
CAMP,NM_004345.5
CAMSAP1,NM_015447.4
CAMSAP2,NM_203459.4
CAMSAP3,NM_020902.2
CAMTA1,NM_015215.4
CAMTA2,NM_015099.4
CAND2,NM_001162499.2
CANT1,NM_001159773.2
CANX,NM_001746.4
CAP1,NM_006367.4
CAP2,NM_006366.3
CAPG,NM_001747.4
CAPN1,NM_005186.4
CAPN10,NM_023083.4
CAPN11,NM_007058.4
CAPN12,NM_144691.4
CAPN13,NM_144575.3
CAPN14,NM_001145122.2
CAPN15,NM_005632.3
CAPN2,NM_001748.5
CAPN3,NM_000070.3
CAPN5,NM_004055.5
CAPN6,NM_014289.4
CAPN7,NM_014296.3
CAPN8,NM_001143962.2
CAPN9,NM_006615.3
CAPRIN1,NM_005898.5
CAPRIN2,NM_001385503.1
CAPS,NM_004058.5
CAPS2,NM_001355024.4
CAPSL,NM_001042625.2
CAPZA1,NM_006135.3
CAPZA2,NM_006136.3
CARD10,NM_014550.4
CARD11,NM_032415.7
CARD14,NM_001366385.1
CARD6,NM_032587.4
CARD8,NM_001184900.3
CARD9,NM_052813.5
CARF,NM_024744.17
CARMIL2,NM_001013838.3
CARNS1,NM_001166222.2
CARS1,NM_001014437.3
CARS2,NM_024537.4
CARTPT,NM_004291.4
CASC3,NM_007359.5
CASK,NM_001367721.1
CASKIN1,NM_020764.4
CASKIN2,NM_020753.5
CASP1,NM_001257118.3
CASP10,NM_032977.4
CASP12,NM_001191016.3
CASP14,NM_012114.3
CASP2,NM_032982.4
CASP3,NM_004346.4
CASP4,NM_001225.4
CASP5,NM_004347.5
CASP6,NM_001226.4
CASP7,NM_001227.5
CASP8,NM_001372051.1
CASP8AP2,NM_001137667.2
CASP9,NM_001229.5
CASQ1,NM_001231.5
CASQ2,NM_001232.4
CASR,NM_000388.4
CASS4,NM_020356.4
CAST,NM_001750.7
CASZ1,NM_001079843.3
CAT,NM_001752.4
CATIP,NM_198559.2
CATSPER1,NM_053054.4
CATSPER2,NM_172095.4
CATSPER3,NM_178019.3
CATSPER4,NM_198137.2
CATSPERB,NM_024764.4
CATSPERD,NM_152784.4
CATSPERE,NM_001130957.2
CATSPERG,NM_021185.5
CAV1,NM_001753.5
CAV3,NM_033337.3
CAVIN1,NM_012232.6
CAVIN4,NM_001018116.2
CBARP,NM_001393918.1
CBFA2T2,NM_001032999.3
CBFA2T3,NM_005187.6
CBL,NM_005188.4
CBLB,NM_170662.5
CBLC,NM_012116.4
CBLIF,NM_005142.3
CBLL2,NM_152577.4
CBR1,NM_001757.4
CBR3,NM_001236.4
CBR4,NM_032783.5
CBS,NM_000071.3
CBX2,NM_005189.3
CBX7,NM_175709.5
CBY2,NM_152719.3
CC2D1A,NM_017721.5
CC2D1B,NM_001330585.2
CC2D2A,NM_001378615.1
CC2D2B,NM_001349008.3
CCAR1,NM_018237.4
CCAR2,NM_001393997.1
CCBE1,NM_133459.4
CCDC102B,NM_024781.3
CCDC103,NM_213607.3
CCDC107,NM_174923.3
CCDC110,NM_152775.4
CCDC112,NM_001040440.3
CCDC115,NM_032357.4
CCDC116,NM_152612.3
CCDC117,NM_173510.4
CCDC12,NM_001277074.2
CCDC120,NM_001163321.4
CCDC125,NM_176816.5
CCDC127,NM_145265.3
CCDC13,NM_144719.4
CCDC134,NM_024821.5
CCDC136,NM_022742.5
CCDC137,NM_199287.3
CCDC138,NM_144978.3
CCDC14,NM_001366335.1
CCDC141,NM_173648.4
CCDC142,NM_001365575.2
CCDC144A,NM_001382000.1
CCDC146,NM_020879.3
CCDC148,NM_138803.4
CCDC149,NM_001395273.1
CCDC15,NM_025004.3
CCDC150,NM_001080539.2
CCDC152,NM_001134848.2
CCDC154,NM_001143980.3
CCDC157,NM_001017437.5
CCDC158,NM_001394954.1
CCDC159,NM_001080503.3
CCDC160,NM_001353453.3
CCDC166,NM_001162914.1
CCDC167,NM_138493.3
CCDC168,NM_001146197.3
CCDC17,NM_001114938.3
CCDC170,NM_025059.4
CCDC171,NM_173550.4
CCDC172,NM_198515.3
CCDC174,NM_016474.5
CCDC175,NM_001164399.2
CCDC178,NM_001105528.4
CCDC18,NM_001378204.1
CCDC180,NM_020893.6
CCDC181,NM_001300969.2
CCDC183,NM_001039374.5
CCDC185,NM_152610.3
CCDC186,NM_018017.4
CCDC187,NM_001378188.1
CCDC190,NM_001394065.1
CCDC191,NM_020817.2
CCDC198,NM_018168.4
CCDC22,NM_014008.5
CCDC24,NM_152499.4
CCDC27,NM_152492.3
CCDC28B,NM_024296.5
CCDC3,NM_031455.4
CCDC30,NM_001395517.1
CCDC33,NM_025055.5
CCDC38,NM_182496.3
CCDC39,NM_181426.2
CCDC40,NM_017950.4
CCDC42,NM_144681.3
CCDC43,NM_144609.3
CCDC47,NM_020198.3
CCDC50,NM_178335.3
CCDC51,NM_001256964.2
CCDC57,NM_001394669.1
CCDC6,NM_005436.5
CCDC60,NM_178499.5
CCDC61,NM_001267723.2
CCDC62,NM_201435.5
CCDC63,NM_152591.3
CCDC65,NM_033124.5
CCDC66,NM_001141947.3
CCDC69,NM_015621.3
CCDC7,NM_001395015.1
CCDC70,NM_031290.4
CCDC71,NM_022903.4
CCDC73,NM_001008391.4
CCDC74A,NM_001258306.3
CCDC74B,NM_001258307.2
CCDC77,NM_032358.4
CCDC78,NM_001378030.1
CCDC8,NM_032040.5
CCDC80,NM_199511.3
CCDC81,NM_001156474.2
CCDC82,NM_024725.4
CCDC83,NM_001286159.2
CCDC85C,NM_001144995.2
CCDC86,NM_024098.4
CCDC87,NM_018219.3
CCDC88A,NM_001365480.1
CCDC88B,NM_032251.6
CCDC88C,NM_001080414.4
CCDC9,NM_015603.3
CCDC91,NM_018318.5
CCDC92,NM_025140.3
CCDC93,NM_019044.5
CCDC97,NM_052848.3
CCER1,NM_152638.4
CCER2,NM_001243212.2
CCHCR1,NM_001105564.2
CCIN,NM_005893.3
CCK,NM_000729.6
CCKAR,NM_000730.3
CCKBR,NM_176875.4
CCL11,NM_002986.3
CCL14,NM_032963.4
CCL15,NM_032965.6
CCL16,NM_004590.4
CCL18,NM_002988.4
CCL20,NM_004591.3
CCL21,NM_002989.4
CCL22,NM_002990.5
CCL25,NM_005624.4
CCL26,NM_001371938.1
CCL27,NM_006664.4
CCL3L3,NM_001001437.4
CCL4,NM_002984.4
CCL4L1,NM_207007.4
CCL4L2,NM_001291468.2
CCL5,NM_002985.3
CCL8,NM_005623.3
CCM2,NM_031443.4
CCN1,NM_001554.5
CCN2,NM_001901.4
CCN3,NM_002514.4
CCN4,NM_003882.4
CCN6,NM_198239.2
CCNA1,NM_001413923.1
CCNA2,NM_001237.5
CCNB1,NM_031966.4
CCNB2,NM_004701.4
CCNB3,NM_033031.3
CCND2,NM_001759.4
CCNDBP1,NM_012142.5
CCNE1,NM_001238.4
CCNE2,NM_057749.3
CCNF,NM_001761.3
CCNG2,NM_004354.3
CCNH,NM_001239.4
CCNI2,NM_001039780.4
CCNJL,NM_001308173.3
CCNL2,NM_030937.6
CCNO,NM_021147.5
CCNP,NM_024877.4
CCNQ,NM_152274.5
CCNT2,NM_058241.3
CCP110,NM_001323572.2
CCPG1,NM_001204450.2
CCR1,NM_001295.3
CCR10,NM_016602.3
CCR2,NM_001123396.4
CCR3,NM_178329.3
CCR4,NM_005508.5
CCR5,NM_001394783.1
CCRL2,NM_003965.5
CCSER1,NM_001145065.2
CCSER2,NM_001284240.2
CCT2,NM_006431.3
CCT5,NM_012073.5
CCT6B,NM_006584.4
CCT8,NM_006585.4
CCT8L2,NM_014406.5
CCZ1,NM_015622.6
CCZ1B,NM_198097.5
CD101,NM_001256106.3
CD109,NM_133493.5
CD14,NM_000591.4
CD151,NM_004357.5
CD160,NM_007053.4
CD163,NM_203416.4
CD163L1,NM_174941.6
CD164,NM_006016.6
CD177,NM_020406.4
CD180,NM_005582.3
CD19,NM_001770.6
CD1A,NM_001763.3
CD1B,NM_001764.3
CD1C,NM_001765.3
CD1D,NM_001371762.2
CD1E,NM_030893.4
CD2,NM_001767.5
CD200,NM_005944.7
CD200R1,NM_138806.4
CD200R1L,NM_001199215.3
CD207,NM_015717.5
CD209,NM_021155.4
CD22,NM_001771.4
CD226,NM_001303618.2
CD244,NM_016382.4
CD247,NM_198053.3
CD248,NM_020404.3
CD27,NM_001242.5
CD274,NM_014143.4
CD276,NM_001024736.2
CD28,NM_006139.4
CD2AP,NM_012120.3
CD300A,NM_007261.4
CD300C,NM_006678.5
CD300E,NM_181449.3
CD300LB,NM_174892.4
CD300LD,NM_001115152.2
CD300LF,NM_139018.5
CD300LG,NM_145273.4
CD320,NM_016579.4
CD33,NM_001772.4
CD34,NM_001025109.2
CD36,NM_001001548.3
CD37,NM_001774.3
CD38,NM_001775.4
CD3D,NM_000732.6
CD3E,NM_000733.4
CD3G,NM_000073.3
CD4,NM_000616.5
CD40,NM_001250.6
CD40LG,NM_000074.3
CD44,NM_000610.4
CD46,NM_172351.3
CD48,NM_001778.4
CD5,NM_014207.4
CD52,NM_001803.3
CD55,NM_000574.5
CD58,NM_001779.3
CD59,NM_000611.6
CD6,NM_006725.5
CD68,NM_001251.3
CD69,NM_001781.2
CD7,NM_006137.7
CD70,NM_001252.5
CD72,NM_001782.3
CD79A,NM_001783.4
CD79B,NM_000626.4
CD80,NM_005191.4
CD83,NM_004233.4
CD86,NM_175862.5
CD8A,NM_001768.7
CD8B,NM_004931.5
CD93,NM_012072.4
CD96,NM_005816.5
CD99,NM_002414.5
CD99L2,NM_031462.4
CDADC1,NM_030911.4
CDAN1,NM_138477.4
CDC14A,NM_003672.4
CDC14B,NM_033331.4
CDC16,NM_001078645.3
CDC20,NM_001255.3
CDC20B,NM_001170402.1
CDC23,NM_004661.4
CDC25A,NM_001789.3
CDC25B,NM_021873.4
CDC25C,NM_001790.5
CDC37,NM_007065.4
CDC40,NM_015891.3
CDC42,NM_001791.4
CDC42BPA,NM_001394014.1
CDC42BPB,NM_006035.4
CDC42BPG,NM_017525.3
CDC42EP1,NM_152243.3
CDC42EP4,NM_012121.5
CDC42EP5,NM_145057.4
CDC45,NM_003504.5
CDC5L,NM_001253.4
CDC6,NM_001254.4
CDC7,NM_003503.4
CDC73,NM_024529.5
CDCA2,NM_152562.4
CDCA5,NM_080668.4
CDCA7,NM_031942.5
CDCA7L,NM_018719.5
CDCA8,NM_001256875.2
CDCP1,NM_022842.5
CDH1,NM_004360.5
CDH10,NM_006727.5
CDH11,NM_001797.4
CDH12,NM_004061.5
CDH13,NM_001257.5
CDH15,NM_004933.3
CDH16,NM_004062.4
CDH17,NM_004063.4
CDH18,NM_004934.5
CDH19,NM_021153.4
CDH2,NM_001792.5
CDH22,NM_021248.3
CDH23,NM_022124.6
CDH24,NM_144985.4
CDH26,NM_177980.4
CDH3,NM_001793.6
CDH4,NM_001794.5
CDH5,NM_001795.5
CDH7,NM_004361.5
CDH8,NM_001796.5
CDH9,NM_016279.4
CDHR1,NM_033100.4
CDHR2,NM_017675.6
CDHR3,NM_152750.5
CDHR4,NM_001007540.4
CDHR5,NM_021924.5
CDIN1,NM_001321759.2
CDK10,NM_052988.5
CDK11A,NM_024011.4
CDK12,NM_016507.4
CDK13,NM_003718.5
CDK16,NM_006201.5
CDK18,NM_212502.3
CDK19,NM_015076.5
CDK20,NM_001039803.3
CDK4,NM_000075.4
CDK5RAP1,NM_016408.4
CDK5RAP2,NM_018249.6
CDK5RAP3,NM_176096.3
CDK7,NM_001799.4
CDK8,NM_001260.3
CDK9,NM_001261.4
CDKAL1,NM_017774.3
CDKL2,NM_001330724.2
CDKL5,NM_001323289.2
CDKN1A,NM_000389.5
CDKN1B,NM_004064.5
CDKN1C,NM_001122630.2
CDKN2A,NM_000077.5
CDKN2AIPNL,NM_080656.3
CDKN2C,NM_078626.3
CDNF,NM_001029954.3
CDON,NM_001378964.1
CDPF1,NM_207327.5
CDR1,NM_004065.2
CDR2,NM_001802.2
CDRT15L2,NM_001190790.2
CDRT4,NM_001204477.2
CDS1,NM_001263.4
CDSN,NM_001264.5
CDT1,NM_030928.4
CDX2,NM_001265.6
CDX4,NM_005193.2
CDYL2,NM_152342.4
CEACAM16,NM_001039213.4
CEACAM19,NM_001127893.3
CEACAM20,NM_001102597.3
CEACAM21,NM_001098506.4
CEACAM3,NM_001815.5
CEACAM4,NM_001817.4
CEACAM5,NM_004363.6
CEACAM6,NM_002483.7
CEACAM7,NM_001291485.2
CEACAM8,NM_001816.4
CEBPA,NM_004364.5
CEBPD,NM_005195.4
CEBPE,NM_001805.4
CEBPZ,NM_005760.3
CECR2,NM_001290047.2
CEL,NM_001807.6
CELA1,NM_001971.6
CELA2A,NM_033440.3
CELA2B,NM_015849.3
CELA3A,NM_005747.5
CELA3B,NM_007352.4
CELF2,NM_001326342.2
CELF4,NM_020180.4
CELF6,NM_052840.5
CELSR1,NM_001378328.1
CELSR2,NM_001408.3
CELSR3,NM_001407.3
CEMIP,NM_001293298.2
CEMIP2,NM_013390.3
