Gene,Transcript
ARHGEF5,NM_005435.4
ARHGEF6,NM_004840.3
ARHGEF7,NM_001354046.2
ARHGEF9,NM_001353921.2
ARID1A,NM_006015.6
ARID1B,NM_001374828.1
ARID2,NM_152641.4
ARID3A,NM_005224.3
ARID3B,NM_006465.4
ARID4A,NM_002892.4
ARID4B,NM_016374.6
ARID5A,NM_212481.3
ARID5B,NM_032199.3
ARIH2,NM_006321.4
ARL11,NM_138450.6
ARL13B,NM_001174150.2
ARL14,NM_025047.3
ARL14EP,NM_152316.3
ARL14EPL,NM_001195581.2
ARL2,NM_001667.4
ARL2BP,NM_012106.4
ARL3,NM_004311.4
ARL4D,NM_001661.4
ARL5C,NM_001143968.1
ARL6,NM_001278293.3
ARL6IP1,NM_015161.3
ARL6IP4,NM_018694.4
ARL6IP6,NM_152522.7
ARMC10,NM_031905.5
ARMC2,NM_032131.6
ARMC3,NM_173081.5
ARMC5,NM_001105247.2
ARMC6,NM_001199196.2
ARMC7,NM_024585.4
ARMC9,NM_001352754.2
ARMCX3,NM_177947.3
ARMCX4,NM_001256155.3
ARMCX6,NM_019007.4
ARMH1,NM_001145636.2
ARMH3,NM_024541.3
ARMH4,NM_001001872.4
ARMS2,NM_001099667.3
ARNT,NM_001668.4
ARNT2,NM_014862.4
ARPC1B,NM_005720.4
ARPC5L,NM_030978.3
ARPP21,NM_001385562.1
ARR3,NM_004312.3
ARRB2,NM_004313.4
ARRDC1,NM_152285.4
ARRDC4,NM_183376.3
ARRDC5,NM_001080523.3
ARSA,NM_000487.6
ARSB,NM_000046.5
ARSD,NM_001669.4
ARSF,NM_001201539.2
ARSG,NM_001267727.2
ARSH,NM_001011719.2
ARSI,NM_001012301.4
ARSJ,NM_024590.4
ARSK,NM_198150.3
ARSL,NM_000047.3
ART1,NM_004314.3
ART4,NM_021071.4
ART5,NM_053017.5
ARV1,NM_022786.3
ARVCF,NM_001670.3
ARX,NM_139058.3
ASAH1,NM_177924.5
ASAP1,NM_018482.4
ASAP2,NM_003887.3
ASAP3,NM_017707.4
ASB1,NM_001040445.3
ASB10,NM_001142459.2
ASB11,NM_080873.3
ASB12,NM_130388.4
ASB14,NM_001142733.3
ASB15,NM_001290258.2
ASB16,NM_080863.5
ASB2,NM_001202429.2
ASB6,NM_017873.4
ASB9,NM_001031739.3
ASCC1,NM_001198800.3
ASCC2,NM_032204.5
ASCC3,NM_006828.4
ASCL1,NM_004316.4
ASGR1,NM_001671.5
ASGR2,NM_001201352.2
