,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
32,"('T', 'K')",273,25,33,0.0019876228613032398,0.002813097783278947,0.002860610263522885,1.4153076210013311,1.4392117937540962,0.044996754866467675,0.09642161757100216,False,0.010175355453558096,0.016066350716144363,False
33,"('W', 'L')",76,17,24,0.0005533309064433928,0.0019129064926296838,0.0020804438280166435,3.457075088982725,3.759854733922184,1.1598715243050385e-08,8.60982346392208e-08,True,4.122511444252314e-14,1.994763602057571e-13,True
34,"('A', 'E')",364,22,59,0.0026501638150709865,0.0024755260492854733,0.005114424410540916,0.9341030298608785,1.9298521779884472,1.0,1.0,False,2.7890106699437058e-09,9.296702233145686e-09,True
35,"('F', 'L')",1208,194,239,0.008795049144521295,0.02182963879824463,0.020717753120665743,2.4820371597176325,2.3556153900028476,1.1846668989289841e-47,4.4425008709836905e-46,True,4.564022880656342e-55,8.55754290123064e-54,True
36,"('N', 'T')",222,13,15,0.0016163087004004368,0.0014628108473050522,0.0013002773925104023,0.9050318462943646,0.8044734227986656,1.0,1.0,False,0.6688311973153701,0.7166048542664679,False
37,"('D', 'G')",1011,64,88,0.007360757189661449,0.007201530325194104,0.0076282940360610264,0.9783681406186054,1.0363463757200613,0.7882730864595003,0.8823952460367541,False,0.281875266573413,0.34656795070501595,False
38,"('P', 'T')",778,39,28,0.005664361121223153,0.004388432541915157,0.0024271844660194173,0.7747444853882349,0.4285010108068984,0.24105000037255786,0.3735145083876934,False,1.918990666670351e-05,4.054205633810601e-05,True
39,"('H', 'N')",195,8,7,0.0014197306152166,0.000900191290649263,0.0006067961165048543,0.6340578142085962,0.4274022902663679,0.31485272425513877,0.44138232372215713,False,0.04139321347932148,0.05878277758795779,False
40,"('V', 'G')",401,45,55,0.0029195485984710593,0.0050635760099021045,0.004767683772538141,1.734369488678439,1.6330208632371912,2.538085965528265e-05,0.00012281061123523864,True,1.1905661116705568e-05,2.588187199283819e-05,True
41,"('A', 'V')",3898,278,109,0.028380050964688753,0.031281647350061885,0.009448682385575589,1.1022407038304258,0.3329339470648556,0.006394594607014721,0.017762762797263115,False,1.31099304098874e-31,1.2290559759269438e-30,True
42,"('S', 'G')",1032,18,52,0.0075136512559155445,0.0020254304039608417,0.004507628294036061,0.26956673060467207,0.5999251416529583,7.3732014811828535e-09,5.8209485377759364e-08,True,0.0013213964445290102,0.0023596365080875183,True
43,"('S', 'W')",105,27,24,0.0007644703312704769,0.0030381456059412624,0.0020804438280166435,3.974183799771737,2.7214186645531995,2.0354113607645353e-16,3.3923522679408924e-15,True,2.030300652340391e-08,5.537183597291976e-08,True
44,"('E', 'D')",1237,27,74,0.00900618856934838,0.0030381456059412624,0.006414701803051317,0.33733977281813454,0.7122548849224726,1.2053752849490913e-08,8.60982346392208e-08,True,0.022366358042163224,0.03354953706324484,False
45,"('A', 'G')",652,23,23,0.00474699672369858,0.002588049960616631,0.00199375866851595,0.5451973344949299,0.4200042225777082,0.00805741222169146,0.021582354165244982,False,7.269302887811557e-05,0.00014160979651580956,True
46,"('M', 'R')",326,32,39,0.00237349836184929,0.003600765162597052,0.0033807212205270456,1.5170708438119789,1.4243621461330973,0.006699469537745176,0.018271280557486846,False,0.00606473609726782,0.009888156680327968,True
47,"('L', 'Q')",221,15,34,0.0016090280305788133,0.001687858669967368,0.0029472954230235784,1.0489927073303982,1.8317241011415768,0.763437540355498,0.8675426594948842,False,3.755790577606583e-05,7.630185568250628e-05,True
48,"('S', 'R')",821,47,132,0.005977429923552967,0.00528862383256442,0.01144244105409154,0.8847655096257285,1.914274395590101,0.7241793051072091,0.8420689594269873,False,6.962663175656377e-19,4.747270347038439e-18,True
49,"('A', 'S')",1001,26,34,0.007287950491445213,0.0029256216946101045,0.0029472954230235784,0.40143270704765016,0.4044066197325559,5.147463765657907e-06,2.8597020920321703e-05,True,3.233204027947468e-07,7.822267809550326e-07,True
50,"('I', 'S')",183,24,21,0.0013323625773571169,0.002700573871947789,0.0018203883495145632,2.0269061273881355,1.3662860098678975,0.00012724352064240915,0.0004771632024090343,True,0.0804522504357441,0.10970761423056014,False
51,"('F', 'I')",144,16,15,0.0010484164543137968,0.001800382581298526,0.0013002773925104023,1.717239913481615,1.240229860147943,0.01853373627166395,0.04483968452821924,False,0.2974245316173648,0.3597877398597155,False
52,"('V', 'A')",1273,61,154,0.009268292682926829,0.00686395859120063,0.013349514563106795,0.7405850058926996,1.4403423607562595,0.06115045503620654,0.12919110218916874,False,8.264285508586959e-09,2.5298833189551915e-08,True
53,"('S', 'A')",398,6,7,0.0028977065890061888,0.0006751434679869473,0.0006067961165048543,0.23299235007036986,0.20940564472849682,0.00020234172145588882,0.0007402745906922762,True,1.1782252578557165e-05,2.588187199283819e-05,True
54,"('Y', 'S')",178,24,24,0.0012959592282489989,0.002700573871947789,0.0020804438280166435,2.083841692764207,1.6053312347083484,6.876878524014238e-05,0.00028542939515913054,True,0.006478957867443828,0.010449932044264238,False
55,"('L', 'H')",145,9,25,0.0010556971241354204,0.0010127152019804209,0.002167128987517337,0.9592857447724883,2.0527942512793533,1.0,1.0,False,3.764224880336977e-05,7.630185568250628e-05,True
56,"('E', 'V')",270,9,28,0.0019657808518383692,0.0010127152019804209,0.0024271844660194173,0.5151719740444844,1.2347177274361738,0.07814025663188447,0.1542241907208246,False,0.13410629574173139,0.1734133134591354,False
57,"('M', 'K')",249,15,40,0.0018128867855842737,0.001687858669967368,0.0034674063800277394,0.9310336880322008,1.912643639746225,1.0,1.0,False,1.6517220912159222e-06,3.7539138436725506e-06,True
58,"('Q', 'L')",196,11,11,0.0014270112850382234,0.0012377630246427367,0.0009535367545076283,0.8673813848708157,0.6682054756715446,0.9018910551664914,0.9876807411945538,False,0.32421805218041244,0.3890616626164949,False
59,"('E', 'G')",830,59,48,0.006042955951947579,0.006638910768538314,0.004160887656033287,1.098619751877997,0.6885517103086409,0.24153938209070838,0.3735145083876934,False,0.039325592841844656,0.05727028083763785,False
60,"('L', 'P')",1957,161,353,0.014248270840917364,0.018116349724316416,0.0305998613037448,1.2714770744174042,2.1476192897646134,7.966650760752315e-05,0.00031447305634548607,True,3.6637107512984395e-65,1.3738915317369148e-63,True
61,"('S', 'N')",1339,33,48,0.009748816891153986,0.0037132890739282097,0.004160887656033287,0.38089638110831936,0.4268094992951247,3.738737926631324e-08,2.549139495430448e-07,True,1.3829041857807374e-08,3.913879771077559e-08,True
62,"('I', 'K')",55,5,17,0.0004004368401892974,0.0005626195566557894,0.0014736477115117892,1.4050144746667759,3.6801002395662588,0.5135091376942108,0.6527658530011154,False,6.699304826625924e-10,2.450965180472899e-09,True
63,"('F', 'S')",484,68,61,0.0035238441936658173,0.007651625970518735,0.005287794729542303,2.171386006303199,1.5005756324434614,4.0421438785392956e-13,5.512014379826312e-12,True,9.1097157993445e-05,0.00017518684229508654,True
64,"('R', 'L')",837,86,71,0.0060939206406989445,0.009677056374479577,0.006154646324549237,1.5879852963378374,1.0099649613821238,5.17960932368415e-07,3.3780060806635763e-06,True,0.46659654311241827,0.5383806266681749,False
65,"('N', 'I')",234,20,23,0.0017036767382599199,0.0022504782266231575,0.00199375866851595,1.3209537796012423,1.1702681757293407,0.14841554904465742,0.2619097924317484,False,0.28533654402557346,0.3479713951531384,False
66,"('K', 'M')",78,6,5,0.00056789224608664,0.0006751434679869473,0.00043342579750346743,1.1888584016411181,0.7632183754756571,0.7187621443901236,0.8420689594269873,False,0.8178082146709834,0.8518835569489411,False
67,"('L', 'R')",604,30,96,0.004397524572260648,0.003375717339934736,0.008321775312066574,0.7676403586755564,1.8923772170734172,0.28900722606906204,0.41976016502345775,False,1.1694866833757575e-13,5.481968828323864e-13,True
68,"('Y', 'N')",144,16,31,0.0010484164543137968,0.001800382581298526,0.002687239944521498,1.717239913481615,2.563141710972415,0.01853373627166395,0.04483968452821924,False,1.633372227834979e-09,5.697810097098764e-09,True
69,"('K', 'I')",61,5,3,0.0004441208591190389,0.0005626195566557894,0.00026005547850208044,1.266816329617585,0.5855511470862418,0.6708546553349848,0.8050255864019817,False,0.5568744532365515,0.6187493924850572,False
70,"('Q', 'E')",523,16,25,0.0038077903167091373,0.001800382581298526,0.002167128987517337,0.47281557847294936,0.5691303373527844,0.00506656575343495,0.014615093519523894,False,0.013803099521813095,0.02112719314563229,False
71,"('K', 'E')",962,63,86,0.007004004368401893,0.007089006413862946,0.0074549237170596395,1.0121362068025734,1.064380220933619,0.5869729825602672,0.721688093311804,False,0.18659926310239933,0.23324907887799914,False
72,"('T', 'P')",423,21,50,0.0030797233345467782,0.0023630021379543154,0.004334257975034674,0.7672774081513599,1.4073530327919916,0.3909129755159031,0.5235441636373702,False,0.0023383463763890686,0.003941033218633262,True
