pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481,150M,DMS,1,0.0,2.7839245425609342,2.901883730532668,0.0
PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481,150M,DMS,2,0.195,2.0989852270751346,1.92001718519064,0.18138937421754806
PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481,150M,CBGE,1,0.0,2.7839245425609342,2.901883730532668,0.0
PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481,150M,CBGE,2,0.0,2.0989852270751346,1.92001718519064,0.0
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,DMS,1,0.075,2.7252879967495964,1.4754745197240466,0.04205145464318118
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,DMS,2,0.075,2.6156233439000314,1.4648143427287148,0.04343515021266493
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,DMS,3,0.19,2.5556394281352373,1.4317449286751085,0.11614858359205524
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,DMS,4,0.075,2.725063572579859,1.328533880868085,0.03802584983095177
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,DMS,5,0.19,2.752385879639594,1.3748442576555626,0.1048802912118086
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,DMS,6,0.19,2.6770997121998823,1.4834198561762273,0.11502661331684048
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,CBGE,1,0.0,2.7252879967495964,1.4754745197240466,0.0
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,CBGE,2,0.445,2.6156233439000314,1.4648143427287148,0.3098826951183781
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,CBGE,3,0.34,2.5556394281352373,1.4317449286751085,0.22396588426410885
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,CBGE,4,0.235,2.725063572579859,1.328533880868085,0.13025498977052322
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,CBGE,5,0.34,2.752385879639594,1.3748442576555626,0.20465963254142813
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,150M,CBGE,6,0.34,2.6770997121998823,1.4834198561762273,0.2220640927315041
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,DMS,1,0.19,2.687136945164476,1.5451324810177753,0.11884883378532411
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,DMS,2,0.0,2.6165816024021664,1.455820726013383,0.0
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,DMS,3,0.375,2.678365657224872,1.463672242469869,0.24692430958419426
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,DMS,4,0.175,2.7152208543030047,1.4235888735507407,0.10008417497395905
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,DMS,5,0.075,2.6832852988389644,1.2496473324760011,0.03638672109928101
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,CBGE,1,0.095,2.687136945164476,1.5451324810177753,0.05692427577694866
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,CBGE,2,0.03,2.6165816024021664,1.455820726013383,0.016916615984626814
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,CBGE,3,0.235,2.678365657224872,1.463672242469869,0.14374238403957337
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,CBGE,4,0.095,2.7152208543030047,1.4235888735507407,0.052165908553307154
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,150M,CBGE,5,0.235,2.6832852988389644,1.2496473324760011,0.12515750900517444
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,DMS,1,0.205,2.5911912373889274,2.458745118188675,0.19658148542773296
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,DMS,2,0.07,3.0412932451660786,2.6437290348660616,0.06141140155188245
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,DMS,3,0.375,3.029549449029473,2.4835149876721583,0.32969504484612766
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,DMS,4,0.09,2.8711058500293585,2.5500328485982977,0.0807480849481556
