gene,model,mean_raw_calm_weight,sd_raw_calm_weight,mean_standardized_equivalent_calm_weight,sd_standardized_equivalent_calm_weight
GCK,ESM-1b 650M + CaLM,0.40199999999999997,0.02167948338867877,0.37269300541570655,0.02785647259873094
GCK,ESM-2 650M + CaLM,0.146,0.1938556163746617,0.12643947703579175,0.16940201173977418
GCM2,ESM-1b 650M + CaLM,0.13,0.2906888370749727,0.09661436022388956,0.21603627706326883
GCM2,ESM-2 650M + CaLM,0.182,0.11256109452204167,0.19562889960580426,0.12088276303647752
GFAP,ESM-1b 650M + CaLM,0.56,0.2413503677229434,0.49467673060709283,0.2257231993225633
GFAP,ESM-2 650M + CaLM,0.696,0.12177848742696712,0.6584449986016464,0.12488257689167709
GFM1,ESM-1b 650M + CaLM,0.188,0.42038077976996047,0.18100248311208314,0.4047338563348756
GFM1,ESM-2 650M + CaLM,0.40599999999999997,0.26111300235721696,0.3787807280118832,0.24135628705515305
GHR,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GHR,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GHRHR,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GHRHR,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GJA3,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GJA3,ESM-2 650M + CaLM,0.5640000000000001,0.33478351213881485,0.5727589399931405,0.3403219283372102
GJA8,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GJA8,ESM-2 650M + CaLM,0.4,0.22360679774997896,0.40888188996425495,0.22893990706888756
GLA,ESM-1b 650M + CaLM,0.054000000000000006,0.12074767078498866,0.0503445976819333,0.1125739427166812
GLA,ESM-2 650M + CaLM,0.002,0.004472135954999579,0.001811418118264342,0.004050454048113822
GLB1,ESM-1b 650M + CaLM,0.066,0.060249481325568274,0.04942044855597547,0.045135047983105955
GLB1,ESM-2 650M + CaLM,0.096,0.08763560920082658,0.0811339938523212,0.07412385469840982
GLDC,ESM-1b 650M + CaLM,0.344,0.2707027890510181,0.3212633773076461,0.2603288275822763
GLDC,ESM-2 650M + CaLM,0.524,0.1656200470957547,0.5217274089128393,0.17141381064270966
GLDN,ESM-1b 650M + CaLM,0.46799999999999997,0.26855167100578614,0.30212938533136785,0.17628716400141722
GLDN,ESM-2 650M + CaLM,0.236,0.16272676485446394,0.13719638770226356,0.09662378951499588
GLRA1,ESM-1b 650M + CaLM,0.11400000000000002,0.07956129712366435,0.0731993846895139,0.05116348779370933
GLRA1,ESM-2 650M + CaLM,0.146,0.0944986772394196,0.11403952751089137,0.07484561462754101
GLUD1,ESM-1b 650M + CaLM,0.296,0.14363147287415803,0.3028004089282528,0.15187116977003762
GLUD1,ESM-2 650M + CaLM,0.13999999999999999,0.08246211251235322,0.13578618406067886,0.08134547624741088
GNAO1,ESM-1b 650M + CaLM,0.362,0.21730163368000713,0.33676854691809455,0.20332755551123685
GNAO1,ESM-2 650M + CaLM,0.744,0.4159086438149609,0.742786199367603,0.4152360396835931
GNB1,ESM-1b 650M + CaLM,0.512,0.4222795282748147,0.4450059109361745,0.37726470558360564
GNB1,ESM-2 650M + CaLM,0.304,0.27736257858622526,0.26250299036424224,0.25138106010077277
GP1BA,ESM-1b 650M + CaLM,0.6980000000000001,0.21707141681944217,0.6927555862101238,0.213373115266798
GP1BA,ESM-2 650M + CaLM,0.9359999999999999,0.032863353450309926,0.9337738349721709,0.033490876168284285
GPAA1,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GPAA1,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
GPI,ESM-1b 650M + CaLM,0.62,0.3475629439396553,0.5546900445255802,0.3132667335852413
GPI,ESM-2 650M + CaLM,0.4640000000000001,0.30262187627466725,0.41359419288192517,0.27571905496383015
GPR143,ESM-1b 650M + CaLM,0.364,0.47762956357411546,0.3250328308108547,0.4386256138921467
GPR143,ESM-2 650M + CaLM,0.6980000000000001,0.08043631020876078,0.6366882085541677,0.09057274552664585
GRIA2,ESM-1b 650M + CaLM,0.41600000000000004,0.23255106965997815,0.3386042601838274,0.19010031345584216
GRIA2,ESM-2 650M + CaLM,0.454,0.28316073174082595,0.4282219426867586,0.2737624664247019
GRIA3,ESM-1b 650M + CaLM,0.066,0.060249481325568274,0.05187847168691127,0.047492252908698455
GRIA3,ESM-2 650M + CaLM,0.296,0.2123205124334434,0.2662737528288134,0.19745888194457903
GRIA4,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
GRIA4,ESM-2 650M + CaLM,0.262,0.34054368295418425,0.23918689351474803,0.33339866157158704
GRIN1,ESM-1b 650M + CaLM,0.64,0.07582875444051551,0.5477634960412975,0.08863129780254043
GRIN1,ESM-2 650M + CaLM,0.514,0.0795612971236644,0.4929830352731134,0.08119619395500659
GRM6,ESM-1b 650M + CaLM,0.40599999999999997,0.13258959235173776,0.3313723213593257,0.12639689925724581
GRM6,ESM-2 650M + CaLM,0.392,0.21913466179497937,0.3496015679382805,0.1957125615515074
GTPBP3,ESM-1b 650M + CaLM,0.526,0.21617122842783681,0.44132884944646616,0.19144763778712684
GTPBP3,ESM-2 650M + CaLM,0.45999999999999996,0.2607680962081059,0.4155354129883514,0.23671902578720788
HADHA,ESM-1b 650M + CaLM,0.266,0.17896927110540514,0.2095555651399752,0.14419683689589394
HADHA,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
HBA1,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
HBA1,ESM-2 650M + CaLM,0.042,0.038340579025361636,0.02824374223986232,0.02586639120277408
HBA2,ESM-1b 650M + CaLM,0.15799999999999997,0.3092248372948072,0.12013845995128762,0.24414874601750616
HBA2,ESM-2 650M + CaLM,0.33799999999999997,0.20608250774871698,0.29026043971877113,0.1794207464497003
HBB,ESM-1b 650M + CaLM,0.53,0.06928203230275516,0.44394974068475646,0.05490210668288825
